date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:57	2747/2747	---M--	200	added ('OK')	text/css	etag:%2262c56-abb-4b635764ce1ca%22	https://bostonliteraryhistory.com/sites/all/themes/forgottenchapters/css/forgottenchapters.responsive.gpanels.css?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/forgottenchapters/css/forgottenchapters.responsive.gpanels063b.css	(from https://chapters.bc.edu/)
11:40:58	28514/28514	---M-Z	200	added ('OK')	text/html	etag:%221472569274-1%22	https://chapters.bc.edu/about	C:/My%20Web%20Sites/testmirror/about.html	(from https://chapters.bc.edu/)
11:40:58	36310/36310	---MCZ	200	added ('OK')	text/html	etag:%221472571658-1%22	https://chapters.bc.edu/chapter-1	C:/My%20Web%20Sites/testmirror/chapter-1.html	(from https://chapters.bc.edu/)
11:40:58	36705/36705	---MCZ	200	added ('OK')	text/html	etag:%221472569263-1%22	https://chapters.bc.edu/chapter-2	C:/My%20Web%20Sites/testmirror/chapter-2.html	(from https://chapters.bc.edu/)
11:40:59	35656/35656	---MCZ	200	added ('OK')	text/html	etag:%221472568242-1%22	https://chapters.bc.edu/chapter-3	C:/My%20Web%20Sites/testmirror/chapter-3.html	(from https://chapters.bc.edu/)
11:41:00	44848/44848	---MCZ	200	added ('OK')	text/html	etag:%221472571659-1%22	https://chapters.bc.edu/chapter-4	C:/My%20Web%20Sites/testmirror/chapter-4.html	(from https://chapters.bc.edu/)
11:41:00	37889/37889	---MCZ	200	added ('OK')	text/html	etag:%221472571580-1%22	https://chapters.bc.edu/chapter-5	C:/My%20Web%20Sites/testmirror/chapter-5.html	(from https://chapters.bc.edu/)
11:41:00	34199/34199	---MCZ	200	added ('OK')	text/html	etag:%221472569753-1%22	https://chapters.bc.edu/chapter-6	C:/My%20Web%20Sites/testmirror/chapter-6.html	(from https://chapters.bc.edu/)
11:41:01	42259/42259	---MCZ	200	added ('OK')	text/html	etag:%221472571660-1%22	https://chapters.bc.edu/map	C:/My%20Web%20Sites/testmirror/map.html	(from https://chapters.bc.edu/)
11:41:01	18496/18496	---M-Z	200	added ('OK')	text/html	etag:%221472568672-1%22	https://chapters.bc.edu/feedback	C:/My%20Web%20Sites/testmirror/feedback.html	(from https://chapters.bc.edu/)
11:41:01	2974/2974	---M--	200	added ('OK')	application/x-javascript	etag:%2226f51-b9e-52a72551ad698%22	https://bostonliteraryhistory.com/misc/jquery.once.js?v=1.2	C:/My%20Web%20Sites/testmirror/misc/jquery.once7839.js	(from https://chapters.bc.edu/)
11:41:01	16797/16797	---M--	200	added ('OK')	application/x-javascript	etag:%2226f4a-419d-52a725510cc45%22	https://bostonliteraryhistory.com/misc/drupal.js?o1vzsw	C:/My%20Web%20Sites/testmirror/misc/drupal063b.js	(from https://chapters.bc.edu/)
11:41:02	33292/33292	---M--	200	added ('OK')	application/x-javascript	etag:%2247e30-820c-4aa436602e0f6%22	https://chapters.bc.edu/sites/all/libraries/jplayer/jquery.jplayer.min.js?v=2.0	C:/My%20Web%20Sites/testmirror/sites/all/libraries/jplayer/jquery.jplayer.min3661.js	(from https://chapters.bc.edu/)
11:41:03	6649/6649	---M--	200	added ('OK')	application/x-javascript	etag:%2262bfd-19f9-4b6354164f04c%22	https://bostonliteraryhistory.com/sites/all/themes/adaptivetheme/adaptivetheme/js/vertical-tabs.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/themes/adaptivetheme/adaptivetheme/js/vertical-tabs063b.js	(from https://chapters.bc.edu/)
11:41:04	11924/11924	---M--	200	added ('OK')	application/x-javascript	etag:%2249783-2e94-5289c429abe40%22	https://bostonliteraryhistory.com/sites/all/libraries/colorbox/jquery.colorbox-min.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/libraries/colorbox/jquery.colorbox-min063b.js	(from https://chapters.bc.edu/)
11:41:04	683/683	---M--	200	added ('OK')	application/x-javascript	etag:%2263051-2ab-52a725de692ac%22	https://bostonliteraryhistory.com/sites/all/modules/colorbox/js/colorbox.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/colorbox/js/colorbox063b.js	(from https://chapters.bc.edu/)
11:41:04	1188/1188	---M--	200	added ('OK')	application/x-javascript	etag:%226304f-4a4-52a725de99fed%22	https://bostonliteraryhistory.com/sites/all/modules/colorbox/js/colorbox_load.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/colorbox/js/colorbox_load063b.js	(from https://chapters.bc.edu/)
11:41:04	1870/1870	---M--	200	added ('OK')	application/x-javascript	etag:%2263052-74e-52a725de86385%22	https://bostonliteraryhistory.com/sites/all/modules/colorbox/js/colorbox_inline.js?o1vzsw	C:/My%20Web%20Sites/testmirror/sites/all/modules/colorbox/js/colorbox_inline063b.js	(from https://chapters.bc.edu/)
